data_x data_y data_z
0.0113613 0.014625 0.0008182075838241377
0.0111172 0.0151084 0.0008060495062548372
0.0582796 0.0146045 0.001003138836363475
0.109598 0.0146396 0.0021237895640968452
0.151062 0.0148822 0.0026983989487224954
0.184041 0.014418 0.010336059512614081
0.227069 0.0144172 0.02594297472514219
0.257428 0.0140358 0.010743336003596216
0.309038 0.0140713 0.044180449091802285
0.327964 0.0149307 0.04912335294185445
0.37108 0.0146139 0.08767091862921252
0.407695 0.0145238 0.1208247808908973
0.410436 0.0143255 0.1546356176241425
0.443815 0.0146543 0.16045786565222248
0.493395 0.014258 0.2014280566223749
0.488732 0.0141611 0.21065982085897003
0.523846 0.0153418 0.25067341424783496
0.56061 0.0147705 0.32000465177504317
0.569226 0.0141842 0.3309082258280484
0.56973 0.013638 0.3080266675960595
0.594576 0.0145169 0.35888808778828724
0.0120186 0.0145348 0.000813320095786196
0.0566318 0.0150176 0.0010573887843994122
0.112058 0.0147396 0.0020206111782494593
0.15438 0.013679 0.0020775012987962246
0.198027 0.0153105 0.004259543904676494
0.229736 0.0148548 0.00888217343531976
0.263359 0.0151699 0.026536328560547585
0.302629 0.0147018 0.04822104120429863
0.331432 0.0144632 0.08285652122559012
0.363069 0.014499 0.08962660995524711
0.396001 0.0140514 0.09967571021608022
0.39655 0.0133229 0.09222533571553607
0.448246 0.0149111 0.17843595140273721
0.479974 0.0149189 0.19536123560385943
0.493252 0.014623 0.2167352151789521
0.530144 0.0136963 0.2682605859768943
0.560281 0.0145371 0.3044724596242929
0.57223 0.0144977 0.3428064725667628
0.569105 0.0141045 0.3182561423581117
0.595128 0.046974 0.48287874787535096
0.0121445 0.0519108 0.0010891907932191374
0.0591572 0.0513187 0.0016409468887200465
0.106759 0.0505404 0.0032368998177731726
0.147455 0.0512493 0.007593024086666656
0.188505 0.0497751 0.020080259082491937
0.2274 0.0494186 0.04117947766566093
0.260091 0.0509925 0.07236208587193067
0.305426 0.0505394 0.11961374613771057
0.329836 0.0503473 0.12140021131502751
0.369991 0.0498757 0.1620727559205022
0.399382 0.0505094 0.19687162371454148
0.419608 0.0507093 0.2594078462357426
0.471014 0.0485806 0.30838941717683294
0.474312 0.0493145 0.30993108870629077
0.507019 0.050054 0.3411199540757865
0.522795 0.048346 0.3701538480240345
0.542624 0.0481045 0.3912076510166947
0.568437 0.0488343 0.44539870431670553
0.592183 0.0493589 0.49569970502781896
0.594249 0.0811445 0.6833879350398279
0.0111995 0.0853281 0.0014985858275721148
0.0581803 0.0847124 0.0035944284122606572
0.104867 0.0842572 0.03156696586224752
0.144135 0.084431 0.02096275169482051
0.183407 0.084194 0.0348775605924497
0.221723 0.083557 0.030326451460619876
0.254499 0.0836956 0.12364877606214575
0.305193 0.0834603 0.15857460221296474
0.328878 0.0828242 0.1620103128301817
0.37391 0.0845225 0.3922239509064518
0.409979 0.0837686 0.3525184028335731
0.414137 0.0836706 0.33497882242215454
0.433081 0.0806973 0.3802961833803577
0.449418 0.0822904 0.40773570186008157
0.493685 0.0823102 0.5501620404638377
0.540856 0.0815405 0.5690387544851405
0.538303 0.0792135 0.6035218852284204
0.554975 0.0793245 0.5693469571915998
0.57051 0.0800498 0.6383336086566855
0.611298 0.111075 1.2309291063528667
0.0120898 0.119134 0.002904631517312767
0.0558193 0.119799 0.005401614033579839
0.105318 0.118212 0.05237498238075409
0.152847 0.116734 0.04728016106832406
0.17018 0.118426 0.170597901454463
0.229954 0.116148 0.23199479662411973
0.27475 0.115447 0.27305689635251235
0.303773 0.115729 0.2968409026628013
0.32937 0.115569 0.36399438286371033
0.368479 0.115873 0.5479826515532525
0.392783 0.111879 0.5012386101558818
0.416057 0.113698 0.5634300184669493
0.446238 0.110814 0.6560589265536036
0.480305 0.110021 0.854147739604416
0.509685 0.11526 0.77323239710107
0.533036 0.113252 0.8860403765355919
0.535872 0.110414 0.8685683747957518
0.576222 0.1089 1.0008843644772358
0.593432 0.109176 0.9630166549035726
0.601204 0.140125 1.8076236274364934
0.0110254 0.148604 0.006683313006516055
0.0594508 0.150831 0.12197950049109632
0.101993 0.149605 0.38325894964544965
0.14455 0.143867 0.20648563690323193
0.186756 0.147034 0.507332665404729
0.235672 0.146766 0.9982757125266881
0.256076 0.148148 0.6121032266976435
0.298667 0.147143 0.6176398913490504
0.336224 0.145112 0.679030304466843
0.370598 0.143414 1.0753784676297302
0.392062 0.14573 0.9040581610176787
0.433361 0.145421 1.216420591558145
0.439552 0.139601 0.9664534720271502
0.479199 0.141843 1.0144190641138733
0.504567 0.138797 1.423181108140024
0.535651 0.139467 1.270609501656587
0.551679 0.14305 1.4339636087083938
0.582045 0.13838 1.459188871519608
0.611782 0.141513 1.5460790891693303
0.599208 0.165018 2.93659515251365
0.0119961 0.179671 0.6739599012921169
0.0581221 0.176832 0.36006437870423486
0.105795 0.176528 1.6341021896442094
0.143962 0.175051 0.5606512759737554
0.182947 0.175948 2.838707634738973
0.230926 0.176897 1.079126929257938
0.267097 0.173833 3.099629731769049
0.301251 0.174883 2.717630954673574
0.315128 0.174937 2.412878323116743
0.355912 0.171133 1.392669038573056
0.401812 0.17175 2.8532125624402167
0.42956 0.169429 1.6381208333229471
0.462031 0.169209 2.4201884939332032
0.490648 0.168513 2.262747160370921
0.500895 0.166211 2.005915538110549
0.537985 0.170225 2.5461206906520886
0.537691 0.162897 4.153515885592189
0.574526 0.168428 2.0371074221879746
0.583571 0.162349 3.6816566440213663
0.589228 0.184033 5.789409775331161
0.0117852 0.209583 3.541659540973224
0.0601982 0.209177 1.3505297782598749
0.106587 0.207166 2.370692743018378
0.146878 0.204018 4.075806508373527
0.177676 0.204609 4.815942692824186
0.224109 0.205942 4.456406152514229
0.265852 0.205039 3.838985519895415
0.300918 0.204943 4.944569059176611
0.321041 0.201607 5.208921069031475
0.365309 0.19733 6.307190948541726
0.410314 0.195923 4.0331608010591395
0.422497 0.19835 2.673652629730846
0.436852 0.19938 5.326634749367247
0.475089 0.198109 7.135629222565684
0.510844 0.198112 4.950013855236502
0.527175 0.195302 6.637165117387593
0.557098 0.191982 6.230531641002502
0.54699 0.195785 8.076973432998692
0.58029 0.191152 3.8036120520543806
0.591295 0.210514 7.661289406070408
0.0119268 0.238957 8.56981059746169
0.0537275 0.239456 9.939843826279835
0.105335 0.239751 10.463705664287072
0.142108 0.231688 9.456600151966175
0.194007 0.236032 8.595710610044602
0.233046 0.231336 6.192270157556652
0.262648 0.23366 10.610932329165678
0.298459 0.229679 5.949640900482987
0.340671 0.229237 12.165549894305368
0.366936 0.224312 3.4783517995836286
0.411152 0.221801 10.136760499457738
0.427888 0.223588 10.089918866416452
0.466545 0.217933 5.839388740362015
0.475686 0.220253 11.628630096104759
0.503914 0.218999 9.072635508311059
0.523729 0.219063 8.116633233285011
0.55264 0.216662 7.108463092084908
0.582545 0.210655 6.870968064731975
0.597214 0.213828 9.595722851868256
0.617694 0.234804 12.163708276398827
0.011915 0.268438 11.699793766763584
0.0605908 0.264953 14.113372207236655
0.105138 0.266672 21.478429001907937
0.144862 0.260966 18.12430730418867
0.192859 0.261368 16.276064543781256
0.231174 0.252471 8.315896217710593
0.2526 0.256336 15.57377970061646
0.304884 0.256584 20.28653595614589
0.339915 0.253892 15.13913247990232
0.363981 0.249704 16.27536953558966
0.392823 0.247483 16.294877178733202
0.438803 0.250797 18.611426394377553
0.448035 0.243743 13.643628446641312
0.490404 0.243208 12.01265087619437
0.50687 0.245422 14.40772547501282
0.52151 0.237964 11.149755323623324
0.546465 0.240782 13.976439466063356
0.580087 0.23749 13.725889556401558
0.59816 0.237224 13.41251377097771
0.607617 0.250281 16.76450049692703
0.0112607 0.296612 31.08719503766784
0.0605908 0.296972 27.93578402992597
0.105973 0.28513 26.65357895299116
0.146647 0.285521 20.356705894946103
0.189592 0.281723 23.444838378770427
0.234482 0.283335 23.1337576859734
0.261023 0.28145 25.93263587277622
0.305078 0.280151 25.57565353586623
0.343436 0.278092 25.601110516928753
0.369152 0.27232 19.597752078831224
0.385055 0.278182 24.54290599833959
0.438069 0.269241 21.806994940461955
0.451931 0.274415 30.3330410215769
0.476738 0.269739 13.813647456772596
0.513421 0.265806 22.823453992622003
0.532108 0.260083 23.72614478966189
0.550776 0.260581 20.19301720983436
0.553645 0.259708 17.858238504958994
0.597246 0.256484 26.234326557013052
0.600154 0.281248 28.451949530509623
0.0109316 0.321063 43.95177518405827
0.0602809 0.319464 40.8781667793049
0.110314 0.310415 32.22516811613763
0.143622 0.31055 35.07842980132758
0.189788 0.311711 39.61301847865169
0.225278 0.308896 42.41413531874329
0.267092 0.303343 36.09829571715725
0.28603 0.307637 41.93641699545476
0.338082 0.302358 35.224924728758
0.35725 0.299538 34.18885847553264
0.393517 0.295652 27.004811056674082
0.421761 0.289244 29.566904513041834
0.458713 0.285616 27.667493156410107
0.467999 0.288082 33.01746118980077
0.489313 0.284057 25.540112840784396
0.515966 0.28668 31.62601866575473
0.52798 0.280415 26.916483069301606
0.559607 0.279321 29.820073415849713
0.583983 0.278335 15.53648116970721
0.624426 0.289624 31.2682201847179
0.0120703 0.340513 57.103803552536384
0.060373 0.341181 54.323398167333636
0.111576 0.339903 55.63215506919836
0.156733 0.334826 51.26999511998547
0.19227 0.331977 52.75313480549442
0.230863 0.328027 41.53916371963532
0.254585 0.330655 56.56553766160689
0.303223 0.319644 41.76080163682206
0.337339 0.325819 41.93427733720153
0.375964 0.31848 39.112500009630345
0.399744 0.316063 38.46497044177555
0.434023 0.314763 38.269916099333166
0.444246 0.309078 40.3192655142675
0.483305 0.307327 35.677419231216824
0.497427 0.308765 36.319004754903
0.520195 0.30625 38.92130589167498
0.541986 0.296975 36.166775349944224
0.585901 0.292318 24.229552972902052
0.589914 0.285604 29.596968167308404
0.602526 0.303119 38.25051164847341
0.0125557 0.362419 72.342927836267
0.064389 0.364425 71.3400984421571
0.106544 0.358741 67.13457764592451
0.155902 0.35455 64.32052764514607
0.187248 0.356864 69.11749632447152
0.22153 0.354356 66.31114500579824
0.261757 0.346506 63.74638769010105
0.296714 0.347561 66.77642563088165
